season,model,feature,importance_rank,importance_value
2022,xgb,playoff_flag,27,0.0
2022,lr,elo_diff,1,0.39957039415959084
2022,lr,point_diff_advantage,2,0.16888698256195292
2022,lr,home_qb_injury_flag,3,0.1102621476468377
2022,lr,trench_dominance_metric,4,0.10616037240564664
2022,lr,pass_epa_matchup,5,0.07954820200595797
2022,lr,roster_talent_delta,6,0.07628019447152964
2022,lr,def_roster_value_delta,7,0.07421476740631203
2022,lr,div_game_flag,8,0.061669114299986574
2022,lr,rest_advantage,9,0.06123889237374127
2022,lr,surface_type,10,0.05088389675254691
2022,lr,net_success_rate,11,0.05046649122784561
2022,lr,home_field_advantage,12,0.03965694468811828
2022,lr,turnover_margin_rolling,13,0.03590821278133111
2022,lr,market_implied_team_total,14,0.03078898707322267
2022,lr,qb_resilience_delta,15,0.028668105778755695
2022,lr,week,16,0.026875292783266468
2022,lr,away_qb_injury_flag,17,0.022962736813188365
2022,lr,passing_difficulty_index,18,0.020173557066545833
2022,lr,qb_pressure_advantage,19,0.015111809040473578
2022,lr,elo_confidence,20,0.012852972339320359
2022,lr,st_value_delta,21,0.01128641219928027
2022,lr,def_pressure_diff,22,0.009994519094940452
2022,lr,rush_epa_matchup,23,0.0
2022,lr,early_down_matchup,24,0.0
2022,lr,net_travel_disadvantage,25,0.0
2022,lr,off_roster_value_delta,26,0.0
2022,lr,playoff_flag,27,0.0
2022,nn,elo_diff,1,0.007133007049560547
2022,nn,net_success_rate,2,0.0037150681018829346
2022,nn,roster_talent_delta,3,0.0030903518199920654
2022,nn,pass_epa_matchup,4,0.002993971109390259
2022,nn,point_diff_advantage,5,0.00289347767829895
2022,nn,away_qb_injury_flag,6,0.0022838711738586426
2022,nn,elo_confidence,7,0.0017719566822052002
2022,nn,trench_dominance_metric,8,0.0013130605220794678
2022,nn,home_qb_injury_flag,9,0.00131264328956604
2022,nn,def_pressure_diff,10,0.001238405704498291
2022,nn,div_game_flag,11,0.0011668205261230469
2022,nn,early_down_matchup,12,0.000995248556137085
2022,nn,week,13,0.0008154809474945068
2022,nn,rest_advantage,14,0.0006431341171264648
2022,nn,def_roster_value_delta,15,0.0004379153251647949
2022,nn,market_implied_team_total,16,0.0003304779529571533
2022,nn,qb_resilience_delta,17,0.00030866265296936035
2022,nn,playoff_flag,18,0.0
2022,nn,passing_difficulty_index,19,-5.59389591217041e-05
2022,nn,qb_pressure_advantage,20,-0.0002085268497467041
2022,nn,rush_epa_matchup,21,-0.0003948509693145752
2022,nn,net_travel_disadvantage,22,-0.0004578828811645508
2022,nn,st_value_delta,23,-0.0005436241626739502
2022,nn,home_field_advantage,24,-0.0015776753425598145
2022,nn,surface_type,25,-0.0017133653163909912
2022,nn,off_roster_value_delta,26,-0.0019958019256591797
2022,nn,turnover_margin_rolling,27,-0.0027188658714294434
2023,xgb,elo_diff,1,0.16893965005874634
2023,xgb,point_diff_advantage,2,0.1026332750916481
2023,xgb,roster_talent_delta,3,0.08102495968341827
2023,xgb,elo_confidence,4,0.05415521189570427
2023,xgb,home_qb_injury_flag,5,0.04083031043410301
2023,xgb,trench_dominance_metric,6,0.03529652580618858
2023,xgb,net_success_rate,7,0.035021811723709106
2023,xgb,qb_resilience_delta,8,0.03428630158305168
2023,xgb,pass_epa_matchup,9,0.03332052007317543
2023,xgb,off_roster_value_delta,10,0.031902845948934555
2023,xgb,early_down_matchup,11,0.029603274539113045
2023,xgb,def_roster_value_delta,12,0.029398877173662186
2023,xgb,market_implied_team_total,13,0.029071144759655
2023,xgb,qb_pressure_advantage,14,0.028772640973329544
2023,xgb,turnover_margin_rolling,15,0.02874838374555111
2023,xgb,rush_epa_matchup,16,0.026763183996081352
2023,xgb,away_qb_injury_flag,17,0.026118190959095955
2023,xgb,div_game_flag,18,0.02572801150381565
2023,xgb,net_travel_disadvantage,19,0.025438111275434494
2023,xgb,week,20,0.024112487211823463
2023,xgb,passing_difficulty_index,21,0.023047100752592087
2023,xgb,st_value_delta,22,0.02284904196858406
2023,xgb,rest_advantage,23,0.022846072912216187
2023,xgb,surface_type,24,0.02111794427037239
2023,xgb,def_pressure_diff,25,0.018974043428897858
2023,xgb,home_field_advantage,26,0.0
2023,xgb,playoff_flag,27,0.0
2023,lr,elo_diff,1,0.4780986404967557
2023,lr,point_diff_advantage,2,0.14317924232703386
2023,lr,home_qb_injury_flag,3,0.13062411348475345
2023,lr,trench_dominance_metric,4,0.10880330036454845
2023,lr,pass_epa_matchup,5,0.08564403510974743
2023,lr,def_roster_value_delta,6,0.07785119173436983
2023,lr,div_game_flag,7,0.0675988462863016
2023,lr,rest_advantage,8,0.0666947918463265
2023,lr,roster_talent_delta,9,0.056020116401799484
2023,lr,elo_confidence,10,0.0511920203706643
2023,lr,net_success_rate,11,0.04991236404009058
2023,lr,market_implied_team_total,12,0.04866615516316312
2023,lr,qb_resilience_delta,13,0.03684083260405335
